"Gene"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"ACP1"	"ACP1"	0.499812444907825	6.21415227125916	312.755782751156	5.48156280006032e-70	6.6911116911023e-69
"ACP2"	"ACP2"	0.382627287283362	5.68946789357946	173.844097168205	1.07060876247154e-39	4.67547603447977e-39
"ACP5"	"ACP5"	1.4613848543967	2.29795646010965	104.514292365195	1.56063604418247e-24	4.13494290110351e-24
"ACP6"	"ACP6"	0.564764873749802	3.56102984177692	79.3477558506604	5.20853715463506e-19	1.15367185415624e-18
"ACPL2"	"ACPL2"	0.365748852487371	6.02435980582437	33.5320415503505	7.00996215496248e-09	1.09806559313343e-08
"ACRBP"	"ACRBP"	0.33212489626278	0.344974577959467	18.0059876098658	2.20211239239161e-05	2.99455016951469e-05
"ACRC"	"ACRC"	-0.333372130603662	1.40783061954099	18.7658594916547	1.47789186590777e-05	2.02531621949516e-05
"ACSBG1"	"ACSBG1"	-0.626494043118918	5.814831671606	35.9335269562346	2.04165196184172e-09	3.27066454039866e-09
"ACSF2"	"ACSF2"	0.0578269251274383	3.85426585790346	0.639971012929664	0.423721293998488	0.445974793632682
"ACSF3"	"ACSF3"	-0.310095892185281	4.55895453931894	90.5915811057994	1.76610238800107e-21	4.2302885954817e-21
"ACSL1"	"ACSL1"	0.400214498351899	5.82395635303267	27.0970021131354	1.93497781318425e-07	2.86516045836846e-07
"ACSL3"	"ACSL3"	0.0122003857528291	7.41249821914597	0.0441847263854243	0.833510305329073	0.845127377101064
"ACSL4"	"ACSL4"	-0.172296907075118	5.96783501537525	13.9653854868001	0.000186207480212266	0.000242792550755019
"ACSL5"	"ACSL5"	0.00133375542796907	3.55404509322378	0.000521097435921547	0.981787825090692	0.983690382991069
"ACSL6"	"ACSL6"	-1.71530976204304	5.35448537561908	245.235902674363	2.83854094194849e-55	2.11713329297209e-54
"ACSM5"	"ACSM5"	-1.05728224562622	3.49264301989568	75.5120322454557	3.63186934988493e-18	7.83702080463319e-18
"ACSS1"	"ACSS1"	-0.811366823392108	6.34215749453702	113.526191931668	1.65480935653624e-26	4.70199706664872e-26
"ACSS2"	"ACSS2"	0.0604317904567388	5.09468983315814	2.75552573118603	0.0969189529065364	0.108138395470361
"ACSS3"	"ACSS3"	1.23507612426312	4.14802815511722	115.939055573153	4.90129443405961e-27	1.41403028142449e-26
"ACTA2"	"ACTA2"	1.33342374569918	5.95336386487301	156.223642304245	7.56479168697339e-36	2.91497176609832e-35
"ACTC1"	"ACTC1"	-0.862808107139202	1.99444064261191	15.2154731080743	9.5914308822258e-05	0.000126877873612923
"ACTG1"	"ACTG1"	0.383210043390966	11.3845568578355	78.7495850536989	7.0503540537704e-19	1.55354605230493e-18
"ACTG2"	"ACTG2"	2.31227890430326	2.31349574888161	144.328857671657	3.01086721243872e-33	1.06520832440067e-32
"ACTL6A"	"ACTL6A"	1.06154130261196	5.18803611351216	493.643973610225	2.29578333371674e-109	1.10418788445905e-107
"ACTL6B"	"ACTL6B"	-1.78310590520565	4.48344440671456	106.281940186856	6.39566833572353e-25	1.72132534850845e-24
"ACTN1"	"ACTN1"	1.54180972995855	7.12226476345152	239.099127606235	6.18211991797144e-54	4.40662481794547e-53
"ACTN2"	"ACTN2"	-0.597700875225938	5.28238993626454	49.4750584639308	2.00909818236118e-12	3.59615657592023e-12
"ACTN4"	"ACTN4"	0.636927421462578	7.934465086612	164.574732489353	1.13294659186218e-37	4.64110577543542e-37
"ACTR10"	"ACTR10"	0.163230477082929	5.97195503200059	19.04688984751	1.27545477577219e-05	1.75220713502125e-05
"ACTR1A"	"ACTR1A"	-0.464839129291734	7.4813346265184	194.159269297585	3.93099656096801e-44	2.00031765248274e-43
"ACTR1B"	"ACTR1B"	0.158213536018242	6.31724413085378	26.4466570654847	2.70916922458705e-07	3.99070440215169e-07
"ACTR2"	"ACTR2"	0.0972011376349518	8.1596089317996	14.025211829719	0.000180375853720676	0.000235358380740354
"ACTR3B"	"ACTR3B"	-0.208240073312855	4.59651365667692	10.8013328373473	0.00101427043564299	0.00127616835536273
"ACTR3"	"ACTR3"	0.829927030525056	7.3740892298138	626.028206152331	3.65303981723242e-138	4.33484077328474e-136
